Year,Region,Disaster Type,Magnitude,Unit,Total_Loss_000_USD
1990,Texas_USA,Storm,,Kph,1200417.0
1991,Texas_USA,Storm,,Kph,69099.0
1991,Texas_USA,Storm,,Kph,2303290.0
1991,Texas_USA,Flood,,Km2,1957796.0
1993,Texas_USA,Storm,,Kph,10857419.0
1994,Texas_USA,Storm,,Kph,211630.0
1994,Texas_USA,Flood,72990.0,Km2,1481412.0
1995,Texas_USA,Storm,,Kph,4117103.0
1995,Texas_USA,Storm,113.0,Kph,4117103.0
1995,Texas_USA,Storm,129.0,Kph,6175654.0
1996,Texas_USA,Flood,136100.0,Km2,1399950.0
1997,Texas_USA,Storm,,Kph,977123.0
1997,Texas_USA,Storm,,Kph,351764.0
1997,Texas_USA,Storm,,Kph,97712.0
1997,Texas_USA,Storm,,Kph,488561.0
2024,Texas_USA,Drought,,Km2,5400000.0
1998,Texas_USA,Storm,,Kph,120273.0
1998,Texas_USA,Extreme temperature,38.0,°C,8226696.0
1998,Texas_USA,Storm,,Kph,1924373.0
1998,Texas_USA,Storm,,Kph,712018.0
1998,Texas_USA,Storm,,Kph,962187.0
1999,Texas_USA,Storm,,Kph,1883169.0
1999,Texas_USA,Storm,161.0,Kph,377575.0
1999,Texas_USA,Storm,,Kph,564951.0
1999,Texas_USA,Storm,,Kph,188317.0
1999,Texas_USA,Storm,320.0,Kph,5197547.0
1999,Texas_USA,Storm,,Kph,377575.0
1999,Texas_USA,Storm,200.0,Kph,131822.0
1999,Texas_USA,Storm,,Kph,376634.0
2004,Texas_USA,Storm,,Kph,1162528.0
2001,Texas_USA,Storm,,Kph,7086.0
2001,Texas_USA,Storm,,Kph,12401.0
2018,Texas_USA,Storm,110.0,Kph,1811377.0
2023,Texas_USA,Storm,,Kph,3037011.0
2023,Texas_USA,Storm,,Kph,1338344.0
2023,Texas_USA,Storm,,Kph,2264889.0
2023,Texas_USA,Storm,,Kph,4220930.0
2023,Texas_USA,Storm,,Kph,1647192.0
2023,Texas_USA,Drought,,Km2,14927679.0
2024,Texas_USA,Storm,,Kph,1300000.0
2024,Texas_USA,Wildfire,,Km2,610000.0
2024,Texas_USA,Flood,,Km2,2700000.0
2024,Texas_USA,Storm,,Kph,1725000.0
2024,Texas_USA,Storm,160.0,Kph,4800000.0
2024,Texas_USA,Storm,,Kph,3500000.0
2024,Texas_USA,Storm,,Kph,3200000.0
2024,Texas_USA,Storm,130.0,Kph,7200000.0
2020,Texas_USA,Storm,,Kph,1696853.0
2021,Texas_USA,Storm,,Kph,1504949.0
2022,Texas_USA,Storm,,Kph,3215620.0
2022,Texas_USA,Storm,177.0,Kph,1393435.0
2022,Texas_USA,Storm,,Kph,3429995.0
2022,Texas_USA,Storm,265.0,Kph,3001245.0
2022,Texas_USA,Storm,130.0,Kph,668849.0
2022,Texas_USA,Storm,,Kph,624902.0
2018,Texas_USA,Storm,,Kph,1623993.0
2002,Texas_USA,Storm,,Kph,697571.0
2002,Texas_USA,Storm,,Kph,349657.0
2002,Texas_USA,Flood,35390.0,Km2,132538.0
2002,Texas_USA,Flood,108300.0,Km2,1743927.0
2005,Texas_USA,Wildfire,,Km2,160626.0
2007,Texas_USA,Storm,,Kph,3025805.0
2010,Texas_USA,Storm,,Kph,345258.0
2011,Texas_USA,Storm,75.0,Kph,1045912.0
2012,Texas_USA,Storm,,Kph,136628.0
2013,Texas_USA,Storm,,Kph,1481208.0
2013,Texas_USA,Storm,,Kph,2827760.0
2015,Texas_USA,Storm,,Kph,1323487.0
2015,Texas_USA,Storm,,Kph,185288.0
2016,Texas_USA,Storm,,Kph,5097292.0
2016,Texas_USA,Flood,,Km2,392099.0
2017,Texas_USA,Storm,215.0,Kph,121575099.0
2019,Texas_USA,Storm,220.0,Kph,3190172.0
2020,Texas_USA,Storm,,Kph,1454445.0
2020,Texas_USA,Storm,,Kph,3030094.0
2000,Texas_USA,Wildfire,680000.0,Km2,1821654.0
2008,Texas_USA,Storm,,Kph,1894059.0
